repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status
eric-mitchell/direct-preference-optimization,eric-mitchell,direct-preference-optimization,232,Python,2024-08-11T00:24:06Z,False,sustainable
taojy123/KeymouseGo,taojy123,KeymouseGo,271,Python,2025-10-11T08:18:50Z,False,sustainable
m-bain/whisperX,m-bain,whisperX,578,Python,2025-10-21T15:13:50Z,False,sustainable
stanfordnlp/dspy,stanfordnlp,dspy,282,Python,2025-12-23T05:01:39Z,False,sustainable
tgbot-collection/YYeTsBot,tgbot-collection,YYeTsBot,361,Python,2025-12-11T08:04:35Z,False,sustainable
pathwaycom/pathway,pathwaycom,pathway,443,Python,2025-12-26T06:06:26Z,False,sustainable
lm-sys/FastChat,lm-sys,FastChat,978,Python,2025-06-02T15:22:03Z,False,sustainable
python-telegram-bot/python-telegram-bot,python-telegram-bot,python-telegram-bot,247,Python,2025-12-21T05:06:50Z,False,sustainable
abi/screenshot-to-code,abi,screenshot-to-code,7641,Python,2025-10-21T18:42:48Z,False,sustainable
logspace-ai/langflow,logspace-ai,langflow,403,Python,2025-12-26T05:34:58Z,False,sustainable
pypa/pipx,pypa,pipx,304,Python,2025-12-22T18:30:08Z,False,sustainable
microsoft/autogen,microsoft,autogen,1582,Python,2025-10-08T04:58:17Z,False,sustainable
continue-revolution/sd-webui-animatediff,continue-revolution,sd-webui-animatediff,281,Python,2024-09-22T00:17:59Z,False,sustainable
jxxghp/MoviePilot,jxxghp,MoviePilot,289,Python,2025-12-25T11:26:26Z,False,sustainable
yt-dlp/yt-dlp,yt-dlp,yt-dlp,1893,Python,2025-12-25T01:25:03Z,False,sustainable
streamlit/streamlit,streamlit,streamlit,556,Python,2025-12-25T23:10:04Z,False,sustainable
airbytehq/airbyte,airbytehq,airbyte,249,Python,2025-12-25T21:37:42Z,False,sustainable
JoeanAmier/TikTokDownloader,JoeanAmier,TikTokDownloader,2133,Python,2025-12-16T04:23:35Z,False,sustainable
litestar-org/litestar,litestar-org,litestar,242,Python,2025-12-26T04:04:54Z,False,sustainable
Kanaries/pygwalker,Kanaries,pygwalker,306,Python,2025-12-19T07:15:12Z,False,sustainable
Kosinkadink/ComfyUI-AnimateDiff-Evolved,Kosinkadink,ComfyUI-AnimateDiff-Evolved,251,Python,2025-08-06T05:23:51Z,False,sustainable
PostHog/posthog,PostHog,posthog,433,Python,2025-12-25T22:12:38Z,False,sustainable
horseee/DeepCache,horseee,DeepCache,309,Python,2024-06-27T05:47:35Z,False,sustainable
microsoft/unilm,microsoft,unilm,336,Python,2025-12-15T04:49:14Z,False,sustainable
OpenBMB/ChatDev,OpenBMB,ChatDev,851,Python,2025-09-23T12:40:26Z,False,sustainable
LiLittleCat/awesome-free-chatgpt,LiLittleCat,awesome-free-chatgpt,1116,Python,2025-06-23T12:16:37Z,False,sustainable
BerriAI/litellm,BerriAI,litellm,751,Python,2025-12-26T02:32:55Z,False,sustainable
flet-dev/flet,flet-dev,flet,382,Python,2025-12-25T01:09:58Z,False,sustainable
SqueezeAILab/LLMCompiler,SqueezeAILab,LLMCompiler,597,Python,2024-07-10T04:39:34Z,False,sustainable
haotian-liu/LLaVA,haotian-liu,LLaVA,1059,Python,2024-08-12T09:52:38Z,False,sustainable
OthersideAI/self-operating-computer,OthersideAI,self-operating-computer,2966,Python,2025-09-19T19:31:39Z,False,sustainable
graphdeco-inria/gaussian-splatting,graphdeco-inria,gaussian-splatting,1058,Python,2025-10-17T14:28:15Z,False,sustainable
zhayujie/chatgpt-on-wechat,zhayujie,chatgpt-on-wechat,1317,Python,2025-10-22T10:32:10Z,False,sustainable
Rudrabha/Wav2Lip,Rudrabha,Wav2Lip,305,Python,2025-06-22T02:41:21Z,False,sustainable
explosion/spaCy,explosion,spaCy,229,Python,2025-11-27T18:55:46Z,False,sustainable
TomSchimansky/CustomTkinter,TomSchimansky,CustomTkinter,303,Python,2025-10-11T22:15:41Z,False,sustainable
Lightning-AI/lit-gpt,Lightning-AI,lit-gpt,672,Python,2025-12-18T15:51:48Z,False,sustainable
psf/black,psf,black,240,Python,2025-12-26T06:02:10Z,False,sustainable
ihmily/DouyinLiveRecorder,ihmily,DouyinLiveRecorder,360,Python,2025-11-03T11:55:52Z,False,sustainable
mindsdb/mindsdb,mindsdb,mindsdb,325,Python,2025-12-25T16:21:40Z,False,sustainable
z1069614715/objectdetection_script,z1069614715,objectdetection_script,244,Python,2025-12-26T01:48:43Z,False,sustainable
spipm/Depix,spipm,Depix,239,Python,2025-04-16T06:48:01Z,False,sustainable
state-spaces/mamba,state-spaces,mamba,3788,Python,2025-12-23T14:51:12Z,False,sustainable
imoneoi/openchat,imoneoi,openchat,594,Python,2024-09-13T07:46:22Z,False,sustainable
QwenLM/Qwen,QwenLM,Qwen,1322,Python,2025-11-26T13:48:46Z,False,sustainable
predibase/lorax,predibase,lorax,231,Python,2025-05-21T17:40:25Z,False,sustainable
FedML-AI/FedML,FedML-AI,FedML,540,Python,2025-10-28T12:44:12Z,False,sustainable
NVIDIA/TensorRT-LLM,NVIDIA,TensorRT-LLM,495,Python,2025-12-26T03:23:15Z,False,sustainable
CircleRadon/Osprey,CircleRadon,Osprey,445,Python,2025-08-19T05:52:00Z,False,sustainable
Ucas-HaoranWei/Vary,Ucas-HaoranWei,Vary,1012,Python,2024-12-30T07:43:26Z,False,sustainable
Kr1s77/awesome-python-login-model,Kr1s77,awesome-python-login-model,16226,Python,2022-07-26T16:22:57Z,False,non_sustainable
isl-org/MiDaS,isl-org,MiDaS,5277,Python,2024-08-23T10:21:06Z,True,non_sustainable
TheSpeedX/TBomb,TheSpeedX,TBomb,5225,Python,2025-06-18T19:36:07Z,True,non_sustainable
google-deepmind/graph_nets,google-deepmind,graph_nets,5390,Python,2022-12-12T11:28:07Z,False,non_sustainable
Kr1s77/Python-crawler-tutorial-starts-from-zero,Kr1s77,Python-crawler-tutorial-starts-from-zero,4547,Python,2020-12-02T03:01:29Z,False,non_sustainable
pandolia/qqbot,pandolia,qqbot,3690,Python,2020-08-23T07:47:42Z,True,non_sustainable
SpiderClub/haipproxy,SpiderClub,haipproxy,5574,Python,2022-12-26T11:50:58Z,False,non_sustainable
MorvanZhou/tutorials,MorvanZhou,tutorials,12745,Python,2020-12-22T22:02:58Z,False,non_sustainable
lyhue1991/eat_tensorflow2_in_30_days,lyhue1991,eat_tensorflow2_in_30_days,9987,Python,2022-09-22T03:18:54Z,False,non_sustainable
sfyc23/EverydayWechat,sfyc23,EverydayWechat,10261,Python,2021-06-22T02:56:06Z,False,non_sustainable
stewartmcgown/uds,stewartmcgown,uds,4371,Python,2021-11-02T07:51:47Z,False,non_sustainable
gitpitch/gitpitch,gitpitch,gitpitch,5484,Python,2021-03-01T07:55:23Z,False,non_sustainable
vibora-io/vibora,vibora-io,vibora,5621,Python,2020-12-23T01:00:55Z,True,non_sustainable
youfou/wxpy,youfou,wxpy,14288,Python,2019-07-14T17:59:47Z,True,non_sustainable
ufoym/deepo,ufoym,deepo,6283,Python,2023-01-29T05:49:54Z,True,non_sustainable
Chalarangelo/30-seconds-of-python,Chalarangelo,30-seconds-of-python,8845,Python,2023-05-07T17:09:42Z,True,non_sustainable
dabeaz/curio,dabeaz,curio,4130,Python,2025-12-21T15:48:55Z,True,non_sustainable
hardikvasa/google-images-download,hardikvasa,google-images-download,8667,Python,2024-02-19T17:21:18Z,True,non_sustainable
yunjey/stargan,yunjey,stargan,5285,Python,2021-01-23T15:09:58Z,False,non_sustainable
facebookresearch/demucs,facebookresearch,demucs,9611,Python,2024-04-24T20:25:19Z,True,non_sustainable
idealo/image-super-resolution,idealo,image-super-resolution,4804,Python,2024-12-18T16:08:09Z,True,non_sustainable
shobrook/rebound,shobrook,rebound,4135,Python,2022-02-16T15:15:53Z,False,non_sustainable
