repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
practical-tutorials/project-based-learning,22071,practical-tutorials,project-based-learning,unknown,,2024-08-15T05:33:54Z,False,success
LC044/WeChatMsg,13585,LC044,WeChatMsg,unknown,,2025-04-26T17:26:17Z,False,success
linexjlin/GPTs,13144,linexjlin,GPTs,unknown,,2024-09-27T03:31:47Z,False,success
lobehub/lobe-chat,10561,lobehub,lobe-chat,unknown,TypeScript,2025-12-26T05:49:09Z,False,success
jmorganca/ollama,8828,jmorganca,ollama,unknown,Go,2025-12-24T01:29:00Z,False,success
ml-explore/mlx,8737,ml-explore,mlx,unknown,C++,2025-12-24T14:35:41Z,False,success
Frooodle/Stirling-PDF,8536,Frooodle,Stirling-PDF,unknown,Java,2025-12-25T23:39:18Z,False,success
HumanAIGC/AnimateAnyone,8013,HumanAIGC,AnimateAnyone,unknown,,2025-09-20T13:56:23Z,False,success
avgupta456/github-trends,7732,avgupta456,github-trends,unknown,Python,2025-01-25T12:51:50Z,True,success
abi/screenshot-to-code,7641,abi,screenshot-to-code,unknown,Python,2025-10-21T18:42:48Z,False,success
movie-web/movie-web,7194,movie-web,movie-web,unknown,,,,not_found
magic-research/magic-animate,7017,magic-research,magic-animate,unknown,Python,2025-08-29T03:12:58Z,False,success
cumulo-autumn/StreamDiffusion,6605,cumulo-autumn,StreamDiffusion,unknown,Python,2024-12-04T08:05:55Z,False,success
Project-DARC/DARC,6574,Project-DARC,DARC,unknown,TypeScript,2024-09-20T17:10:02Z,False,success
lllyasviel/Fooocus,6250,lllyasviel,Fooocus,unknown,Python,2025-12-01T19:17:07Z,False,success
krahets/hello-algo,6019,krahets,hello-algo,unknown,Java,2025-10-30T12:27:41Z,False,success
facebook/stylex,5988,facebook,stylex,unknown,JavaScript,2025-12-26T05:16:20Z,False,success
codecrafters-io/build-your-own-x,5929,codecrafters-io,build-your-own-x,unknown,Markdown,2025-10-10T18:45:01Z,False,success
SJTU-IPADS/PowerInfer,5722,SJTU-IPADS,PowerInfer,unknown,C++,2025-08-02T03:36:13Z,False,success
awesome-selfhosted/awesome-selfhosted,5499,awesome-selfhosted,awesome-selfhosted,unknown,,2025-12-12T19:16:41Z,False,success
apple/ml-ferret,5014,apple,ml-ferret,unknown,Python,2024-10-09T02:40:44Z,False,success
pandora-next/deploy,4776,pandora-next,deploy,unknown,,,,rate_limited
BartoszJarocki/cv,4705,BartoszJarocki,cv,unknown,TypeScript,2025-06-29T12:10:32Z,False,success
Mozilla-Ocho/llamafile,4548,Mozilla-Ocho,llamafile,unknown,C,2025-12-19T12:58:12Z,False,success
vinta/awesome-python,4513,vinta,awesome-python,unknown,Python,2025-11-20T09:45:51Z,False,success
AUTOMATIC1111/stable-diffusion-webui,4437,AUTOMATIC1111,stable-diffusion-webui,unknown,Python,2025-12-18T14:41:34Z,False,success
sindresorhus/awesome,4322,sindresorhus,awesome,unknown,,2025-11-22T10:35:27Z,False,success
VikParuchuri/marker,4126,VikParuchuri,marker,unknown,Python,2025-12-25T15:18:17Z,False,success
microsoft/promptbase,4125,microsoft,promptbase,unknown,Python,2024-06-04T13:26:33Z,False,success
