repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status,pushed_date,months_inactive
LiLittleCat/awesome-free-chatgpt,1116,LiLittleCat,awesome-free-chatgpt,sustainable,Python,2025-06-23T12:16:37Z,False,success,2025-06-23 12:16:37+00:00,-5.913272010512483
Rudrabha/Wav2Lip,305,Rudrabha,Wav2Lip,sustainable,Python,2025-06-22T02:41:21Z,False,success,2025-06-22 02:41:21+00:00,-5.88042049934297
TomSchimansky/CustomTkinter,303,TomSchimansky,CustomTkinter,sustainable,Python,2025-10-11T22:15:41Z,False,success,2025-10-11 22:15:41+00:00,-9.526938239159001
yt-dlp/yt-dlp,1893,yt-dlp,yt-dlp,sustainable,Python,2025-12-25T01:25:03Z,False,success,2025-12-25 01:25:03+00:00,-11.990801576872535
microsoft/autogen,1582,microsoft,autogen,sustainable,Python,2025-10-08T04:58:17Z,False,success,2025-10-08 04:58:17+00:00,-9.42838370565046
haotian-liu/LLaVA,1059,haotian-liu,LLaVA,sustainable,Python,2024-08-12T09:52:38Z,False,success,2024-08-12 09:52:38+00:00,4.434954007884363
streamlit/streamlit,556,streamlit,streamlit,sustainable,Python,2025-12-25T23:10:04Z,False,success,2025-12-25 23:10:04+00:00,-11.990801576872535
predibase/lorax,231,predibase,lorax,sustainable,Python,2025-05-21T17:40:25Z,False,success,2025-05-21 17:40:25+00:00,-4.829172141918528
jxxghp/MoviePilot,289,jxxghp,MoviePilot,sustainable,Python,2025-12-25T11:26:26Z,False,success,2025-12-25 11:26:26+00:00,-11.990801576872535
Kosinkadink/ComfyUI-AnimateDiff-Evolved,251,Kosinkadink,ComfyUI-AnimateDiff-Evolved,sustainable,Python,2025-08-06T05:23:51Z,False,success,2025-08-06 05:23:51+00:00,-7.35873850197109
z1069614715/objectdetection_script,244,z1069614715,objectdetection_script,sustainable,Python,2025-12-26T01:48:43Z,False,success,2025-12-26 01:48:43+00:00,-12.02365308804205
graphdeco-inria/gaussian-splatting,1058,graphdeco-inria,gaussian-splatting,sustainable,Python,2025-10-17T14:28:15Z,False,success,2025-10-17 14:28:15+00:00,-9.724047306176084
pypa/pipx,304,pypa,pipx,sustainable,Python,2025-12-22T18:30:08Z,False,success,2025-12-22 18:30:08+00:00,-11.892247043363994
eric-mitchell/direct-preference-optimization,232,eric-mitchell,direct-preference-optimization,sustainable,Python,2024-08-11T00:24:06Z,False,success,2024-08-11 00:24:06+00:00,4.467805519053877
NVIDIA/TensorRT-LLM,495,NVIDIA,TensorRT-LLM,sustainable,Python,2025-12-26T03:23:15Z,False,success,2025-12-26 03:23:15+00:00,-12.02365308804205
Kanaries/pygwalker,306,Kanaries,pygwalker,sustainable,Python,2025-12-19T07:15:12Z,False,success,2025-12-19 07:15:12+00:00,-11.793692509855452
PostHog/posthog,433,PostHog,posthog,sustainable,Python,2025-12-25T22:12:38Z,False,success,2025-12-25 22:12:38+00:00,-11.990801576872535
tgbot-collection/YYeTsBot,361,tgbot-collection,YYeTsBot,sustainable,Python,2025-12-11T08:04:35Z,False,success,2025-12-11 08:04:35+00:00,-11.530880420499342
state-spaces/mamba,3788,state-spaces,mamba,sustainable,Python,2025-12-23T14:51:12Z,False,success,2025-12-23 14:51:12+00:00,-11.925098554533507
logspace-ai/langflow,403,logspace-ai,langflow,sustainable,Python,2025-12-26T05:34:58Z,False,success,2025-12-26 05:34:58+00:00,-12.02365308804205
QwenLM/Qwen,1322,QwenLM,Qwen,sustainable,Python,2025-11-26T13:48:46Z,False,success,2025-11-26 13:48:46+00:00,-11.038107752956636
explosion/spaCy,229,explosion,spaCy,sustainable,Python,2025-11-27T18:55:46Z,False,success,2025-11-27 18:55:46+00:00,-11.070959264126149
spipm/Depix,239,spipm,Depix,sustainable,Python,2025-04-16T06:48:01Z,False,success,2025-04-16 06:48:01+00:00,-3.679369250985545
ihmily/DouyinLiveRecorder,360,ihmily,DouyinLiveRecorder,sustainable,Python,2025-11-03T11:55:52Z,False,success,2025-11-03 11:55:52+00:00,-10.282522996057818
horseee/DeepCache,309,horseee,DeepCache,sustainable,Python,2024-06-27T05:47:35Z,False,success,2024-06-27 05:47:35+00:00,5.946123521681997
python-telegram-bot/python-telegram-bot,247,python-telegram-bot,python-telegram-bot,sustainable,Python,2025-12-21T05:06:50Z,False,success,2025-12-21 05:06:50+00:00,-11.85939553219448
lm-sys/FastChat,978,lm-sys,FastChat,sustainable,Python,2025-06-02T15:22:03Z,False,success,2025-06-02 15:22:03+00:00,-5.223390275952694
flet-dev/flet,382,flet-dev,flet,sustainable,Python,2025-12-25T01:09:58Z,False,success,2025-12-25 01:09:58+00:00,-11.990801576872535
CircleRadon/Osprey,445,CircleRadon,Osprey,sustainable,Python,2025-08-19T05:52:00Z,False,success,2025-08-19 05:52:00+00:00,-7.7858081471747695
OthersideAI/self-operating-computer,2966,OthersideAI,self-operating-computer,sustainable,Python,2025-09-19T19:31:39Z,False,success,2025-09-19 19:31:39+00:00,-8.804204993429698
m-bain/whisperX,578,m-bain,whisperX,sustainable,Python,2025-10-21T15:13:50Z,False,success,2025-10-21 15:13:50+00:00,-9.85545335085414
OpenBMB/ChatDev,851,OpenBMB,ChatDev,sustainable,Python,2025-09-23T12:40:26Z,False,success,2025-09-23 12:40:26+00:00,-8.935611038107753
abi/screenshot-to-code,7641,abi,screenshot-to-code,sustainable,Python,2025-10-21T18:42:48Z,False,success,2025-10-21 18:42:48+00:00,-9.85545335085414
SqueezeAILab/LLMCompiler,597,SqueezeAILab,LLMCompiler,sustainable,Python,2024-07-10T04:39:34Z,False,success,2024-07-10 04:39:34+00:00,5.519053876478318
microsoft/unilm,336,microsoft,unilm,sustainable,Python,2025-12-15T04:49:14Z,False,success,2025-12-15 04:49:14+00:00,-11.662286465177397
psf/black,240,psf,black,sustainable,Python,2025-12-26T06:02:10Z,False,success,2025-12-26 06:02:10+00:00,-12.02365308804205
zhayujie/chatgpt-on-wechat,1317,zhayujie,chatgpt-on-wechat,sustainable,Python,2025-10-22T10:32:10Z,False,success,2025-10-22 10:32:10+00:00,-9.888304862023652
continue-revolution/sd-webui-animatediff,281,continue-revolution,sd-webui-animatediff,sustainable,Python,2024-09-22T00:17:59Z,False,success,2024-09-22 00:17:59+00:00,3.088042049934297
Ucas-HaoranWei/Vary,1012,Ucas-HaoranWei,Vary,sustainable,Python,2024-12-30T07:43:26Z,False,success,2024-12-30 07:43:26+00:00,-0.164257555847569
taojy123/KeymouseGo,271,taojy123,KeymouseGo,sustainable,Python,2025-10-11T08:18:50Z,False,success,2025-10-11 08:18:50+00:00,-9.526938239159001
mindsdb/mindsdb,325,mindsdb,mindsdb,sustainable,Python,2025-12-25T16:21:40Z,False,success,2025-12-25 16:21:40+00:00,-11.990801576872535
airbytehq/airbyte,249,airbytehq,airbyte,sustainable,Python,2025-12-25T21:37:42Z,False,success,2025-12-25 21:37:42+00:00,-11.990801576872535
FedML-AI/FedML,540,FedML-AI,FedML,sustainable,Python,2025-10-28T12:44:12Z,False,success,2025-10-28 12:44:12+00:00,-10.085413929040735
Lightning-AI/lit-gpt,672,Lightning-AI,lit-gpt,sustainable,Python,2025-12-18T15:51:48Z,False,success,2025-12-18 15:51:48+00:00,-11.76084099868594
BerriAI/litellm,751,BerriAI,litellm,sustainable,Python,2025-12-26T02:32:55Z,False,success,2025-12-26 02:32:55+00:00,-12.02365308804205
stanfordnlp/dspy,282,stanfordnlp,dspy,sustainable,Python,2025-12-23T05:01:39Z,False,success,2025-12-23 05:01:39+00:00,-11.925098554533507
JoeanAmier/TikTokDownloader,2133,JoeanAmier,TikTokDownloader,sustainable,Python,2025-12-16T04:23:35Z,False,success,2025-12-16 04:23:35+00:00,-11.695137976346912
litestar-org/litestar,242,litestar-org,litestar,sustainable,Python,2025-12-26T04:04:54Z,False,success,2025-12-26 04:04:54+00:00,-12.02365308804205
pathwaycom/pathway,443,pathwaycom,pathway,sustainable,Python,2025-12-26T06:06:26Z,False,success,2025-12-26 06:06:26+00:00,-12.02365308804205
imoneoi/openchat,594,imoneoi,openchat,sustainable,Python,2024-09-13T07:46:22Z,False,success,2024-09-13 07:46:22+00:00,3.383705650459921
avgupta456/github-trends,7732,avgupta456,github-trends,non_sustainable,Python,2025-01-25T12:51:50Z,True,success,2025-01-25 12:51:50+00:00,-1.0183968462549278
iperov/DeepFaceLab,427,iperov,DeepFaceLab,non_sustainable,Python,2024-11-13T19:29:05Z,True,success,2024-11-13 19:29:05+00:00,1.3797634691195795
OpenEthan/SMSBoom,307,OpenEthan,SMSBoom,non_sustainable,Python,2024-03-20T03:30:32Z,True,success,2024-03-20 03:30:32+00:00,9.198423127463863
jianchang512/clone-voice,2978,jianchang512,clone-voice,non_sustainable,Python,2025-08-29T01:53:41Z,True,success,2025-08-29 01:53:41+00:00,-8.114323258869907
iperov/DeepFaceLive,346,iperov,DeepFaceLive,non_sustainable,Python,2024-11-08T03:07:42Z,True,success,2024-11-08 03:07:42+00:00,1.5440210249671484
testerSunshine/12306,231,testerSunshine,12306,non_sustainable,Python,2023-04-02T03:19:43Z,True,success,2023-04-02 03:19:43+00:00,20.795006570302235
svc-develop-team/so-vits-svc,737,svc-develop-team,so-vits-svc,non_sustainable,Python,2023-11-11T13:11:31Z,True,success,2023-11-11 13:11:31+00:00,13.469119579500656
dsdanielpark/Bard-API,260,dsdanielpark,Bard-API,non_sustainable,Python,2024-04-24T10:38:31Z,True,success,2024-04-24 10:38:31+00:00,8.04862023653088
google/generative-ai-python,231,google,generative-ai-python,non_sustainable,Python,2025-12-16T17:45:53Z,True,success,2025-12-16 17:45:53+00:00,-11.695137976346912
floodsung/Deep-Learning-Papers-Reading-Roadmap,226,floodsung,Deep-Learning-Papers-Reading-Roadmap,non_sustainable,Python,2022-11-27T13:18:32Z,False,success,2022-11-27 13:18:32+00:00,24.93429697766097
google/style-aligned,779,google,style-aligned,non_sustainable,Python,2023-12-29T21:26:34Z,True,success,2023-12-29 21:26:34+00:00,11.892247043363994
jzhang38/TinyLlama,339,jzhang38,TinyLlama,non_sustainable,Python,2024-05-03T20:21:20Z,True,success,2024-05-03 20:21:20+00:00,7.752956636005256
S-LoRA/S-LoRA,226,S-LoRA,S-LoRA,non_sustainable,Python,2024-01-21T10:41:56Z,True,success,2024-01-21 10:41:56+00:00,11.136662286465176
wenge-research/YAYI2,478,wenge-research,YAYI2,non_sustainable,Python,2024-04-07T08:27:39Z,True,success,2024-04-07 08:27:39+00:00,8.607095926412615
google-research/bert,292,google-research,bert,non_sustainable,Python,2024-07-23T23:39:41Z,True,success,2024-07-23 23:39:41+00:00,5.091984231274639
Sanster/lama-cleaner,378,Sanster,lama-cleaner,non_sustainable,Python,2025-04-29T02:13:17Z,True,success,2025-04-29 02:13:17+00:00,-4.106438896189225
intel/intel-extension-for-transformers,334,intel,intel-extension-for-transformers,non_sustainable,Python,2024-10-08T21:09:46Z,True,success,2024-10-08 21:09:46+00:00,2.562417871222076
PanQiWei/AutoGPTQ,245,PanQiWei,AutoGPTQ,non_sustainable,Python,2025-04-11T13:27:20Z,True,success,2025-04-11 13:27:20+00:00,-3.515111695137976
facebookresearch/codellama,397,facebookresearch,codellama,non_sustainable,Python,2024-08-12T12:49:54Z,True,success,2024-08-12 12:49:54+00:00,4.434954007884363
ant-design/ant-design-web3,447,ant-design,ant-design-web3,sustainable,TypeScript,2025-12-22T08:09:40Z,False,success,2025-12-22 08:09:40+00:00,-11.892247043363994
openai/openai-node,287,openai,openai-node,sustainable,TypeScript,2025-12-19T03:28:40Z,False,success,2025-12-19 03:28:40+00:00,-11.793692509855452
iptv-org/iptv,1428,iptv-org,iptv,sustainable,TypeScript,2025-12-26T00:13:20Z,False,success,2025-12-26 00:13:20+00:00,-12.02365308804205
triggerdotdev/trigger.dev,393,triggerdotdev,trigger.dev,sustainable,TypeScript,2025-12-25T08:54:20Z,False,success,2025-12-25 08:54:20+00:00,-11.990801576872535
mattermost/focalboard,438,mattermost,focalboard,sustainable,TypeScript,2025-10-27T10:12:44Z,False,success,2025-10-27 10:12:44+00:00,-10.052562417871222
vueuse/vueuse,345,vueuse,vueuse,sustainable,TypeScript,2025-12-20T02:42:29Z,False,success,2025-12-20 02:42:29+00:00,-11.826544021024967
framer/motion,264,framer,motion,sustainable,TypeScript,2025-12-12T00:51:59Z,False,success,2025-12-12 00:51:59+00:00,-11.563731931668856
streetwriters/notesnook,385,streetwriters,notesnook,sustainable,TypeScript,2025-12-26T06:25:16Z,False,success,2025-12-26 06:25:16+00:00,-12.02365308804205
upscayl/upscayl,1113,upscayl,upscayl,sustainable,TypeScript,2025-12-19T21:39:17Z,False,success,2025-12-19 21:39:17+00:00,-11.793692509855452
colinhacks/zod,641,colinhacks,zod,sustainable,TypeScript,2025-12-23T20:28:22Z,False,success,2025-12-23 20:28:22+00:00,-11.925098554533507
RealKai42/qwerty-learner,401,RealKai42,qwerty-learner,sustainable,TypeScript,2025-12-12T05:15:18Z,False,success,2025-12-12 05:15:18+00:00,-11.563731931668856
omnivore-app/omnivore,573,omnivore-app,omnivore,sustainable,TypeScript,2025-12-04T18:00:25Z,False,success,2025-12-04 18:00:25+00:00,-11.300919842312746
dataelement/bisheng,585,dataelement,bisheng,sustainable,TypeScript,2025-12-25T12:48:21Z,False,success,2025-12-25 12:48:21+00:00,-11.990801576872535
monkeytypegame/monkeytype,322,monkeytypegame,monkeytype,sustainable,TypeScript,2025-12-24T13:34:04Z,False,success,2025-12-24 13:34:04+00:00,-11.957950065703022
udecode/plate,1251,udecode,plate,sustainable,TypeScript,2025-12-23T06:53:39Z,False,success,2025-12-23 06:53:39+00:00,-11.925098554533507
openai-translator/openai-translator,637,openai-translator,openai-translator,sustainable,TypeScript,2025-12-12T08:12:36Z,False,success,2025-12-12 08:12:36+00:00,-11.563731931668856
solidjs/solid,324,solidjs,solid,sustainable,TypeScript,2025-12-17T23:30:34Z,False,success,2025-12-17 23:30:34+00:00,-11.727989487516425
xyflow/xyflow,324,xyflow,xyflow,sustainable,TypeScript,2025-12-04T13:37:52Z,False,success,2025-12-04 13:37:52+00:00,-11.300919842312746
d3george/slash-admin,647,d3george,slash-admin,sustainable,TypeScript,2025-08-12T14:14:33Z,False,success,2025-08-12 14:14:33+00:00,-7.555847568988173
janhq/jan,450,janhq,jan,sustainable,TypeScript,2025-12-26T05:16:28Z,False,success,2025-12-26 05:16:28+00:00,-12.02365308804205
calcom/cal.com,528,calcom,cal.com,sustainable,TypeScript,2025-12-26T04:47:52Z,False,success,2025-12-26 04:47:52+00:00,-12.02365308804205
f/awesome-chatgpt-prompts,2253,f,awesome-chatgpt-prompts,sustainable,TypeScript,2025-12-26T03:34:32Z,False,success,2025-12-26 03:34:32+00:00,-12.02365308804205
angular/angular,515,angular,angular,sustainable,TypeScript,2025-12-18T21:06:37Z,False,success,2025-12-18 21:06:37+00:00,-11.76084099868594
Platane/snk,306,Platane,snk,sustainable,TypeScript,2025-12-21T09:31:40Z,False,success,2025-12-21 09:31:40+00:00,-11.85939553219448
wasp-lang/wasp,464,wasp-lang,wasp,sustainable,TypeScript,2025-12-24T10:36:11Z,False,success,2025-12-24 10:36:11+00:00,-11.957950065703022
withastro/astro,941,withastro,astro,sustainable,TypeScript,2025-12-25T20:31:45Z,False,success,2025-12-25 20:31:45+00:00,-11.990801576872535
dream-num/univer,286,dream-num,univer,sustainable,TypeScript,2025-12-26T06:25:10Z,False,success,2025-12-26 06:25:10+00:00,-12.02365308804205
FlowiseAI/Flowise,836,FlowiseAI,Flowise,sustainable,TypeScript,2025-12-23T19:22:32Z,False,success,2025-12-23 19:22:32+00:00,-11.925098554533507
huntabyte/shadcn-svelte,301,huntabyte,shadcn-svelte,sustainable,TypeScript,2025-12-23T11:49:28Z,False,success,2025-12-23 11:49:28+00:00,-11.925098554533507
TanStack/query,417,TanStack,query,sustainable,TypeScript,2025-12-23T08:15:02Z,False,success,2025-12-23 08:15:02+00:00,-11.925098554533507
pmndrs/zustand,859,pmndrs,zustand,sustainable,TypeScript,2025-12-21T00:24:43Z,False,success,2025-12-21 00:24:43+00:00,-11.85939553219448
clauderic/dnd-kit,371,clauderic,dnd-kit,sustainable,TypeScript,2025-12-15T17:17:21Z,False,success,2025-12-15 17:17:21+00:00,-11.662286465177397
clash-verge-rev/clash-verge-rev,2521,clash-verge-rev,clash-verge-rev,sustainable,TypeScript,2025-12-26T06:04:40Z,False,success,2025-12-26 06:04:40+00:00,-12.02365308804205
3rd/tsdiagram,254,3rd,tsdiagram,sustainable,TypeScript,2025-12-02T23:05:03Z,False,success,2025-12-02 23:05:03+00:00,-11.235216819973719
conventional-changelog/commitlint,347,conventional-changelog,commitlint,sustainable,TypeScript,2025-12-24T10:13:56Z,False,success,2025-12-24 10:13:56+00:00,-11.957950065703022
Bin-Huang/chatbox,564,Bin-Huang,chatbox,sustainable,TypeScript,2025-11-28T14:39:47Z,False,success,2025-11-28 14:39:47+00:00,-11.103810775295663
zadam/trilium,436,zadam,trilium,sustainable,TypeScript,2025-12-25T21:42:49Z,False,success,2025-12-25 21:42:49+00:00,-11.990801576872535
yangshun/tech-interview-handbook,1196,yangshun,tech-interview-handbook,sustainable,TypeScript,2025-11-18T07:55:58Z,False,success,2025-11-18 07:55:58+00:00,-10.775295663600525
informalsystems/quint,292,informalsystems,quint,sustainable,TypeScript,2025-12-24T17:14:35Z,False,success,2025-12-24 17:14:35+00:00,-11.957950065703022
DIYgod/RSSHub,401,DIYgod,RSSHub,sustainable,TypeScript,2025-12-26T02:07:02Z,False,success,2025-12-26 02:07:02+00:00,-12.02365308804205
tldraw/tldraw,1651,tldraw,tldraw,sustainable,TypeScript,2025-12-26T02:33:52Z,False,success,2025-12-26 02:33:52+00:00,-12.02365308804205
