repo_name,stars,owner,repo,sustainability_status
practical-tutorials/project-based-learning,22071,practical-tutorials,project-based-learning,unknown
LC044/WeChatMsg,13585,LC044,WeChatMsg,unknown
linexjlin/GPTs,13144,linexjlin,GPTs,unknown
lobehub/lobe-chat,10561,lobehub,lobe-chat,unknown
jmorganca/ollama,8828,jmorganca,ollama,unknown
ml-explore/mlx,8737,ml-explore,mlx,unknown
Frooodle/Stirling-PDF,8536,Frooodle,Stirling-PDF,unknown
HumanAIGC/AnimateAnyone,8013,HumanAIGC,AnimateAnyone,unknown
avgupta456/github-trends,7732,avgupta456,github-trends,unknown
abi/screenshot-to-code,7641,abi,screenshot-to-code,unknown
movie-web/movie-web,7194,movie-web,movie-web,unknown
magic-research/magic-animate,7017,magic-research,magic-animate,unknown
cumulo-autumn/StreamDiffusion,6605,cumulo-autumn,StreamDiffusion,unknown
Project-DARC/DARC,6574,Project-DARC,DARC,unknown
lllyasviel/Fooocus,6250,lllyasviel,Fooocus,unknown
krahets/hello-algo,6019,krahets,hello-algo,unknown
facebook/stylex,5988,facebook,stylex,unknown
codecrafters-io/build-your-own-x,5929,codecrafters-io,build-your-own-x,unknown
SJTU-IPADS/PowerInfer,5722,SJTU-IPADS,PowerInfer,unknown
awesome-selfhosted/awesome-selfhosted,5499,awesome-selfhosted,awesome-selfhosted,unknown
apple/ml-ferret,5014,apple,ml-ferret,unknown
pandora-next/deploy,4776,pandora-next,deploy,unknown
BartoszJarocki/cv,4705,BartoszJarocki,cv,unknown
Mozilla-Ocho/llamafile,4548,Mozilla-Ocho,llamafile,unknown
vinta/awesome-python,4513,vinta,awesome-python,unknown
AUTOMATIC1111/stable-diffusion-webui,4437,AUTOMATIC1111,stable-diffusion-webui,unknown
sindresorhus/awesome,4322,sindresorhus,awesome,unknown
VikParuchuri/marker,4126,VikParuchuri,marker,unknown
microsoft/promptbase,4125,microsoft,promptbase,unknown
bleedline/aimoneyhunter,4079,bleedline,aimoneyhunter,unknown
