has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,True,True,False,False,42,success,eric-mitchell/direct-preference-optimization,eric-mitchell,direct-preference-optimization,,,
False,False,True,True,False,False,42,success,taojy123/KeymouseGo,taojy123,KeymouseGo,4.2,1.0,1.0
False,False,True,True,False,False,42,success,m-bain/whisperX,m-bain,whisperX,,,
False,True,True,True,False,False,62,success,stanfordnlp/dspy,stanfordnlp,dspy,,,
False,False,True,True,False,False,37,success,tgbot-collection/YYeTsBot,tgbot-collection,YYeTsBot,3.2,0.0,0.0
True,True,True,True,False,True,87,success,pathwaycom/pathway,pathwaycom,pathway,,,
False,False,True,True,False,True,50,success,lm-sys/FastChat,lm-sys,FastChat,4.3,0.0,5.0
False,True,True,True,False,True,62,success,python-telegram-bot/python-telegram-bot,python-telegram-bot,python-telegram-bot,6.0,10.0,0.0
False,False,True,True,False,False,57,success,abi/screenshot-to-code,abi,screenshot-to-code,,,
True,True,True,True,False,False,75,success,logspace-ai/langflow,logspace-ai,langflow,,,
True,True,True,True,False,True,75,success,pypa/pipx,pypa,pipx,5.6,10.0,10.0
True,True,True,True,False,True,100,success,microsoft/autogen,microsoft,autogen,5.6,6.0,6.0
False,False,True,True,False,False,42,success,continue-revolution/sd-webui-animatediff,continue-revolution,sd-webui-animatediff,,,
False,False,True,True,False,False,42,success,jxxghp/MoviePilot,jxxghp,MoviePilot,,,
False,True,True,True,False,True,75,success,yt-dlp/yt-dlp,yt-dlp,yt-dlp,7.5,10.0,7.0
True,True,True,True,False,True,87,success,streamlit/streamlit,streamlit,streamlit,5.4,10.0,10.0
True,True,True,True,False,True,87,success,airbytehq/airbyte,airbytehq,airbyte,3.9,10.0,8.0
False,False,True,True,False,False,57,success,JoeanAmier/TikTokDownloader,JoeanAmier,TikTokDownloader,,,
True,True,True,True,False,True,100,success,litestar-org/litestar,litestar-org,litestar,,,
False,True,True,True,False,False,62,success,Kanaries/pygwalker,Kanaries,pygwalker,,,
False,False,True,True,False,False,42,success,Kosinkadink/ComfyUI-AnimateDiff-Evolved,Kosinkadink,ComfyUI-AnimateDiff-Evolved,,,
True,True,True,True,False,True,100,success,PostHog/posthog,PostHog,posthog,3.9,10.0,10.0
False,False,True,True,False,False,42,success,horseee/DeepCache,horseee,DeepCache,,,
True,True,True,True,False,False,87,success,microsoft/unilm,microsoft,unilm,2.7,0.0,5.0
False,False,True,True,False,False,37,success,OpenBMB/ChatDev,OpenBMB,ChatDev,,,
False,False,True,True,False,False,57,success,LiLittleCat/awesome-free-chatgpt,LiLittleCat,awesome-free-chatgpt,,,
False,True,True,True,False,True,87,success,BerriAI/litellm,BerriAI,litellm,,,
True,True,True,True,False,True,75,success,flet-dev/flet,flet-dev,flet,,,
False,False,True,True,False,False,37,success,SqueezeAILab/LLMCompiler,SqueezeAILab,LLMCompiler,,,
False,False,True,True,False,False,42,success,haotian-liu/LLaVA,haotian-liu,LLaVA,,,
False,True,True,True,False,True,62,success,OthersideAI/self-operating-computer,OthersideAI,self-operating-computer,,,
False,False,True,True,False,False,37,success,graphdeco-inria/gaussian-splatting,graphdeco-inria,gaussian-splatting,,,
False,False,True,True,False,False,42,success,zhayujie/chatgpt-on-wechat,zhayujie,chatgpt-on-wechat,,,
