repo_name,stars
practical-tutorials/project-based-learning,22071
LC044/WeChatMsg,13585
linexjlin/GPTs,13144
lobehub/lobe-chat,10561
jmorganca/ollama,8828
ml-explore/mlx,8737
Frooodle/Stirling-PDF,8536
HumanAIGC/AnimateAnyone,8013
avgupta456/github-trends,7732
abi/screenshot-to-code,7641
movie-web/movie-web,7194
magic-research/magic-animate,7017
cumulo-autumn/StreamDiffusion,6605
Project-DARC/DARC,6574
lllyasviel/Fooocus,6250
krahets/hello-algo,6019
facebook/stylex,5988
codecrafters-io/build-your-own-x,5929
SJTU-IPADS/PowerInfer,5722
awesome-selfhosted/awesome-selfhosted,5499
apple/ml-ferret,5014
pandora-next/deploy,4776
BartoszJarocki/cv,4705
Mozilla-Ocho/llamafile,4548
vinta/awesome-python,4513
AUTOMATIC1111/stable-diffusion-webui,4437
sindresorhus/awesome,4322
VikParuchuri/marker,4126
microsoft/promptbase,4125
bleedline/aimoneyhunter,4079
hrvach/deskhop,3966
Pythagora-io/gpt-pilot,3901
state-spaces/mamba,3788
gkd-kit/gkd,3782
HumanAIGC/OutfitAnyone,3755
comfyanonymous/ComfyUI,3641
Mintplex-Labs/anything-llm,3616
cloudcommunity/Free-Certifications,3552
trimstray/the-book-of-secret-knowledge,3534
karanpratapsingh/system-design,3502
public-apis/public-apis,3474
shadcn-ui/ui,3360
ByteByteGoHq/system-design-101,3259
microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,3214
nomic-ai/gpt4all,3145
SuperDuperDB/superduperdb,2990
pytorch-labs/gpt-fast,2984
jianchang512/clone-voice,2978
OthersideAI/self-operating-computer,2966
microsoft/generative-ai-for-beginners,2946
kamranahmedse/developer-roadmap,2888
massgravel/Microsoft-Activation-Scripts,2850
ml-explore/mlx-examples,2848
microsoft/AI-For-Beginners,2793
facebookresearch/seamless_communication,2755
babaohuang/GeminiProChat,2734
langchain-ai/langchain,2711
JJTech0130/pypush,2586
mlabonne/llm-course,2566
donnemartin/system-design-primer,2548
KRTirtho/spotube,2545
ggerganov/llama.cpp,2538
open-mmlab/Amphion,2524
clash-verge-rev/clash-verge-rev,2521
federico-busato/Modern-CPP-Programming,2476
damo-vilab/AnyDoor,2464
mnotgod96/AppAgent,2397
FuelLabs/sway,2392
microsoft/ML-For-Beginners,2380
EbookFoundation/free-programming-books,2353
oxc-project/oxc,2350
bgstaal/multipleWindow3dScene,2346
HuolalaTech/page-spy-web,2325
makeplane/plane,2309
Stability-AI/generative-models,2303
GrowingGit/GitHub-Chinese-Top-Charts,2298
localsend/localsend,2288
Nukem9/dlssg-to-fsr3,2281
f/awesome-chatgpt-prompts,2253
BuilderIO/gpt-crawler,2228
excalidraw/excalidraw,2225
AmruthPillai/Reactive-Resume,2207
ashishps1/awesome-system-design-resources,2202
xaoyaoo/PyWxDump,2183
microsoft/TaskWeaver,2138
JoeanAmier/TikTokDownloader,2133
chatanywhere/GPT_API_free,2125
openai/weak-to-strong,2123
geekan/MetaGPT,2119
typehero/typehero,2092
ChatGPTNextWeb/ChatGPT-Next-Web,2085
AppFlowy-IO/AppFlowy,2080
jackfrued/Python-100-Days,2076
a-h/templ,2071
AvaloniaUI/Avalonia,2032
immich-app/immich,2023
francoismichel/ssh3,2018
oobabooga/text-generation-webui,2013
AleoHQ/leo,2007
freeCodeCamp/freeCodeCamp,1997
vllm-project/vllm,1981
chriskiehl/Gooey,1961
sdmg15/Best-websites-a-programmer-should-visit,1936
loco-rs/loco,1926
xuchengsheng/spring-reading,1916
labmlai/annotated_deep_learning_paper_implementations,1911
heyman/heynote,1909
openai/whisper,1904
DataEngineer-io/data-engineer-handbook,1900
yt-dlp/yt-dlp,1893
biomejs/biome,1890
jwasham/coding-interview-university,1888
2dust/v2rayN,1885
binary-husky/gpt_academic,1878
avelino/awesome-go,1857
ossu/computer-science,1844
charmbracelet/huh,1834
unslothai/unsloth,1833
Significant-Gravitas/AutoGPT,1831
florinpop17/app-ideas,1808
huggingface/transformers,1786
facebookresearch/Pearl,1772
ollama-webui/ollama-webui,1768
langgenius/dify,1763
DopplerHQ/awesome-interview-questions,1755
labring/FastGPT,1753
anoma/namada,1713
microsoft/PowerToys,1709
jaywcjlove/awesome-mac,1705
samuelcolvin/FastUI,1702
imartinez/privateGPT,1693
torvalds/linux,1665
LouisShark/chatgpt_system_prompt,1653
tldraw/tldraw,1651
BottleSome/AutoApiSecret,1646
jlevy/the-art-of-command-line,1642
StanGirard/quivr,1641
Yidadaa/ChatGPT-Next-Web,1632
OwshenNetwork/owshen,1587
521xueweihan/HelloGitHub,1583
microsoft/autogen,1582
mli/paper-reading,1571
songquanpeng/one-api,1564
kuchin/awesome-cto,1551
THUDM/ChatGLM3,1543
damo-vilab/i2vgen-xl,1517
ruanyf/weekly,1516
paperless-ngx/paperless-ngx,1509
bigskysoftware/htmx,1507
ast-grep/ast-grep,1499
hiyouga/LLaMA-Factory,1491
usebruno/bruno,1486
mistralai/mistral-src,1480
fujiapple852/trippy,1476
facebookresearch/llama,1473
lukas-blecher/LaTeX-OCR,1466
hiroi-sora/Umi-OCR,1458
FuelLabs/fuel-core,1451
pocketbase/pocketbase,1451
opa334/TrollStore,1447
danny-avila/LibreChat,1446
run-llama/llama_index,1445
iptv-org/iptv,1428
Genymobile/scrcpy,1428
AmrDeveloper/GQL,1426
Coder-World04/Complete-System-Design,1425
nodejs/node,1425
PKUFlyingPig/cs-self-learning,1415
TabbyML/tabby,1413
trekhleb/javascript-algorithms,1401
Librum-Reader/Librum,1400
rustdesk/rustdesk,1399
coqui-ai/TTS,1398
payloadcms/payload,1395
ise-uiuc/magicoder,1384
firstcontributions/first-contributions,1381
PRIS-CV/DemoFusion,1379
johnma2006/mamba-minimal,1379
papers-we-love/papers-we-love,1377
refilc/naplo,1374
jmpoep/vmprotect-3.5.1,1365
JushBJJ/Mr.-Ranedeer-AI-Tutor,1356
chokcoco/iCSS,1352
xtekky/gpt4free,1351
threestudio-project/threestudio,1348
ultralytics/ultralytics,1337
QwenLM/Qwen,1322
zhayujie/chatgpt-on-wechat,1317
louislam/uptime-kuma,1315
d2l-ai/d2l-zh,1314
sherlock-project/sherlock,1307
Avaiga/taipy,1305
MetaCubeX/mihomo,1302
jasonjmcghee/rem,1282
karpathy/nanoGPT,1278
MunGell/awesome-for-beginners,1278
PlexPt/awesome-chatgpt-prompts-zh,1273
chatchat-space/Langchain-Chatchat,1263
udecode/plate,1251
krishnaik06/Roadmap-To-Learn-Generative-AI-In-2024,1251
JoeanAmier/XHS-Downloader,1251
Vaibhavs10/insanely-fast-whisper,1239
ripienaar/free-for-dev,1236
tiangolo/fastapi,1223
facebook/react,1212
yangshun/tech-interview-handbook,1196
anfragment/zen,1190
GoogleCloudPlatform/generative-ai,1188
microsoft/LLMLingua,1185
twentyhq/twenty,1182
Snoopy1866/LiTiaotiao-Custom-Rules,1180
kilimchoi/engineering-blogs,1176
Hack-with-Github/Awesome-Hacking,1174
bytebase/bytebase,1170
lencx/ChatGPT,1169
100xdevs-cohort-2/assignments,1169
roboflow/supervision,1168
wavetermdev/waveterm,1161
gpt-engineer-org/gpt-engineer,1157
dreamoving/dreamoving-project,1148
ytongbai/LVM,1147
microsoft/vscode,1144
jordan-cutler/path-to-senior-engineer-handbook,1141
easychen/lean-side-bussiness,1140
danswer-ai/danswer,1138
Stability-AI/stablediffusion,1137
usememos/memos,1135
bbycroft/llm-viz,1134
SagerNet/sing-box,1120
LiLittleCat/awesome-free-chatgpt,1116
vercel/next.js,1114
upscayl/upscayl,1113
HerbertHe/iptv-sources,1111
godotengine/godot,1106
microsoft/promptbench,1103
CyC2018/CS-Notes,1101
prakhar1989/awesome-courses,1100
Coframe/coffee,1099
WuKongOpenSource/Wukong_HRM,1091
ytdl-org/youtube-dl,1089
home-assistant/core,1089
supabase/supabase,1088
WuKongOpenSource/Wukong_nocode,1088
mckaywrigley/chatbot-ui,1085
CopilotKit/CopilotKit,1083
suno-ai/bark,1079
TheAlgorithms/Python,1079
Hillobar/Rope,1074
saadeghi/daisyui,1072
sunner/ChatALL,1072
louislam/dockge,1071
neovim/neovim,1070
rust-lang/rust,1069
zzzgydi/clash-verge,1065
openbao/openbao,1064
openai/openai-python,1059
haotian-liu/LLaVA,1059
alist-org/alist,1059
openai/openai-cookbook,1059
tuteng/Best-websites-a-programmer-should-visit-zh,1058
graphdeco-inria/gaussian-splatting,1058
SimplifyJobs/Summer2024-Internships,1055
fighting41love/funNLP,1054
FuelLabs/fuels-rs,1052
conductor-oss/conductor,1046
THU-LYJ-Lab/T3Bench,1043
facebookresearch/llama-recipes,1037
base-org/chains,1033
gradio-app/gradio,1033
SecureAI-Tools/SecureAI-Tools,1032
ratatui-org/ratatui,1027
MrNeRF/awesome-3D-gaussian-splatting,1021
pytorch/pytorch,1020
fishaudio/Bert-VITS2,1015
Ucas-HaoranWei/Vary,1012
illacloud/illa-builder,1011
KillianLucas/open-interpreter,1008
n8n-io/n8n,1005
mudler/LocalAI,1003
tauri-apps/tauri,1001
jqnatividad/qsv,1000
tailwindlabs/tailwindcss,998
FuelLabs/fuels-ts,996
fatedier/frp,994
ohmyzsh/ohmyzsh,993
nocodb/nocodb,993
lm-sys/FastChat,978
dunglas/frankenphp,974
typst/typst,973
activepieces/activepieces,962
kadirnar/whisper-plus,961
macrozheng/mall,961
The-Run-Philosophy-Organization/run,952
Ftindy/IPTV-URL,951
rust-lang/rustlings,945
elfvingralf/macOSpilot-ai-assistant,944
base-org/node,943
withastro/astro,941
1Panel-dev/1Panel,941
Z-Siqi/Clash-for-Windows_Chinese,938
OpenAccess-AI-Collective/axolotl,937
llmware-ai/llmware,933
swisskyrepo/PayloadsAllTheThings,931
Hannibal046/Awesome-LLM,928
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,926
stas00/ml-engineering,925
chenzomi12/DeepLearningSystem,919
guoqincode/AnimateAnyone-unofficial,919
2dust/v2rayNG,918
ventoy/Ventoy,917
justjavac/free-programming-books-zh_CN,917
yformer/EfficientSAM,913
prs-eth/Marigold,913
ZHO-ZHO-ZHO/comfyui-portrait-master-zh-cn,912
astral-sh/ruff,909
Innei/Shiro,908
github/gitignore,905
Asabeneh/30-Days-Of-Python,904
topjohnwu/Magisk,898
keiko233/clash-nyanpasu,893
laravel/pulse,888
oven-sh/bun,888
fffaraz/awesome-cpp,887
sudheerj/javascript-interview-questions,884
leiurayer/downkyi,882
hoppscotch/hoppscotch,882
valinet/ExplorerPatcher,877
basecamp/solid_queue,874
