Test,p_value,statistic,p_adjusted,Significant (FDR)
RQ1: has_code_of_conduct,0.00658231520878616,7.383549000772259,0.007898778250543392,True
RQ1: has_contributing,0.000346277969910416,12.801843465459026,0.0004617039598805547,True
RQ1: has_license,0.5721195525421807,0.3191489361702127,0.6241304209551063,False
RQ1: has_issue_template,2.1514371531723204e-05,18.050309065934066,4.302874306344641e-05,True
RQ1: has_pull_request_template,1.3837613656389882e-08,32.210008142719666,5.535045462555952e-08,True
RQ1: has_readme,1.0,0.0,1.0,False
RQ2: median_issue_response_days,4.7620177754371207e-07,20239.5,1.1428842661049088e-06,True
RQ2: unique_contributors,0.00016273665173907842,4818.5,0.00027897711726699155,True
RQ2: total_commits,8.028968453007854e-08,5465.5,2.408690535902356e-07,True
RQ3: forks_count,3.281758219985194e-29,49373.5,1.9690549319911165e-28,True
RQ3: watchers_count,0.00029923578936841126,37091.5,0.0004488536840526169,True
RQ3: stars_count,1.6066859857509896e-44,53862.0,1.9280231829011874e-43,True
